throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,hit_rate,req_per_s,pd,conc,policy,sla_pass
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,rr,True
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,ll,True
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,kv-nvda,True
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,kv-t-c0.7,True
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,kv-t-c0.85,True
1020.8815268621944,0.02855384615395451,0.42173846153787053,1.4637076923090717,14.625933333333299,0.9706762350332887,0.8098502173301572,1:5,16,kv-t-c1.0,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,rr,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,ll,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,kv-nvda,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,kv-t-c0.7,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,kv-t-c0.85,True
1899.321387667185,0.02953846153855011,0.6199230769232145,1.5323307692317485,14.942733333333399,0.9706762350332887,1.5067035675626617,1:5,32,kv-t-c1.0,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,rr,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,ll,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,kv-nvda,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,kv-t-c0.7,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,kv-t-c0.85,True
2549.6190567979306,0.029538461538436422,0.7858615384616314,1.6741307692308283,15.261799999999878,0.9706762350332887,2.0225750911600504,1:5,48,kv-t-c1.0,True
3089.2757930842545,0.030523076923032022,0.936438461538728,1.792215384615588,15.578399999999785,0.9706762350332887,2.450676799012932,1:5,64,rr,True
3089.2757930842545,0.030523076923032022,0.936438461538728,1.792215384615588,15.578399999999785,0.9706762350332887,2.450676799012932,1:5,64,ll,True
3089.2757930842545,0.030523076923032022,0.936438461538728,1.792215384615588,15.578399999999785,0.9706762350332887,2.450676799012932,1:5,64,kv-nvda,True
